Age [ka BP]	Sea level [m NN] (Calculated)	Speleo_age
0	8.5	-0.0449
1	7.6	0.9597
2	4	1.9644
3	4.3	2.969
4	3.1	3.9737
5	0	4.9784
6	-4	5.983
7	-6.1	6.9877
8	-9.1	7.9923
9	-15.8	8.997
10	-24.6	10.0016
11	-35.8	11.0063
12	-51	12.0978
13	-66.3	13.1893
14	-76.6	14.2793
15	-86.5	15.369
16	-98	16.4601
17	-107.3	17.5518
18	-113	18.6424
19	-116.7	19.7341
20	-117.6	20.825
21	-120	21.9166
22	-125.8	23.0093
23	-128.7	24.0995
24	-130	25.1891
25	-126.9	26.2783
26	-122.4	27.3688
27	-118.3	28.4598
28	-115.2	29.5509
29	-110.9	30.6451
30	-105.8	31.7299
31	-103.5	32.8251
32	-100.7	33.9191
33	-97.5	35.006
34	-97.4	36.1015
35	-98.9	37.1887
36	-99.4	38.2903
37	-95.3	39.3808
38	-93.1	40.4689
39	-90.3	41.5553
40	-85.9	42.6347
41	-79.8	43.7342
42	-75.8	44.8345
43	-73.9	45.9211
44	-76.2	47.0164
45	-74.5	48.1079
46	-75.8	49.1985
47	-73.7	50.2894
48	-76.7	51.3809
49	-73.7	52.4739
50	-68.3	53.5658
51	-63.1	54.6545
52	-67.9	55.739
53	-68.9	56.8292
54	-70.1	57.9325
55	-72.3	59.0275
56	-78	59.7734
57	-82.7	60.52
58	-85.7	61.2661
59	-82.9	62.0126
60	-84.7	62.7593
61	-86.6	63.5054
62	-84.3	64.2521
63	-84.8	64.9986
64	-83.5	65.7449
65	-82.7	66.4905
66	-82.5	67.2381
67	-79.4	68.0003
68	-71.1	68.7622
69	-68.1	69.5242
70	-65.4	70.2856
71	-51.5	71.0472
72	-46.7	71.8087
73	-43.9	72.5701
74	-36.2	73.3318
75	-33.1	74.0935
76	-31.6	74.8551
77	-27.7	75.6182
78	-28.8	77.3143
79	-32.9	79.0114
80	-30.9	80.7068
81	-31.4	82.4018
82	-29.7	84.097
83	-25.6	85.7948
84	-30.7	86.8329
85	-30	87.8711
86	-38.8	88.9089
87	-43.1	89.9459
88	-46.6	90.9833
89	-43.5	91.8033
90	-43.6	92.6237
91	-40.3	93.4436
92	-41.7	94.2638
93	-42.2	95.084
94	-40.5	95.9034
95	-34.2	96.7235
96	-27.7	97.5442
97	-22.2	98.3649
98	-21.2	99.1849
99	-17.2	100.0039
100	-19.5	100.8237
101	-17.7	101.6442
102	-25	102.4643
103	-29.4	103.2842
104	-31.7	104.1065
105	-34.3	104.9257
106	-40.3	105.744
107	-45	106.566
108	-44.5	107.3859
109	-45.9	108.2004
110	-46.4	109.0285
111	-47.1	109.8505
