Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 10.603 10.603 10.603 10.603 10.603 10.603 10.603 9.904 9.395 8.969 8.564 8.155 7.733 7.288 6.815 6.302 5.736 5.101 4.360 3.456 2.186 0.000 0.000 0.000 0.000
    1 10.602 10.602 10.602 10.602 10.602 10.602 10.602 9.880 9.384 8.964 8.560 8.157 7.737 7.297 6.828 6.317 5.755 5.124 4.394 3.502 2.274 0.000 0.000 0.000 0.000
    2 10.600 10.600 10.600 10.600 10.600 10.600 10.600 9.869 9.382 8.964 8.563 8.159 7.742 7.302 6.833 6.322 5.763 5.132 4.398 3.506 2.274 0.000 0.000 0.000 0.000
    3 10.599 10.599 10.599 10.599 10.599 10.599 10.599 9.874 9.387 8.971 8.572 8.168 7.751 7.308 6.836 6.325 5.756 5.122 4.377 3.465 2.190 0.000 0.000 0.000 0.000
    4 10.598 10.598 10.598 10.598 10.598 10.598 10.598 9.888 9.401 8.987 8.585 8.179 7.760 7.314 6.839 6.316 5.743 5.091 4.326 3.383 2.011 0.000 0.000 0.000 0.000
    5 10.598 10.598 10.598 10.598 10.598 10.598 10.598 9.909 9.420 9.004 8.602 8.196 7.772 7.321 6.840 6.310 5.718 5.047 4.253 3.253 1.716 0.000 0.000 0.000 0.000
    6 10.597 10.597 10.597 10.597 10.597 10.597 10.597 9.939 9.446 9.026 8.624 8.216 7.789 7.330 6.838 6.296 5.689 4.991 4.155 3.074 1.279 0.000 0.000 0.000 0.000
    7 10.597 10.597 10.597 10.597 10.597 10.597 10.597 9.976 9.473 9.053 8.647 8.237 7.805 7.343 6.839 6.284 5.655 4.924 4.042 2.858 0.000 0.000 0.000 0.000 0.000
    8 10.597 10.597 10.597 10.597 10.597 10.597 10.597 10.011 9.500 9.077 8.671 8.258 7.821 7.354 6.844 6.273 5.624 4.861 3.915 2.602 0.000 0.000 0.000 0.000 0.000
    9 10.597 10.597 10.597 10.597 10.597 10.597 10.597 10.047 9.524 9.100 8.692 8.278 7.838 7.365 6.846 6.264 5.594 4.795 3.796 2.334 0.000 0.000 0.000 0.000 0.000
   10 10.597 10.597 10.597 10.597 10.597 10.597 10.597 10.076 9.543 9.117 8.709 8.292 7.853 7.375 6.847 6.255 5.572 4.748 3.696 2.081 0.000 0.000 0.000 0.000 0.000
   11 10.597 10.597 10.597 10.597 10.597 10.597 10.597 10.096 9.555 9.129 8.719 8.302 7.857 7.379 6.848 6.250 5.557 4.719 3.632 1.918 0.000 0.000 0.000 0.000 0.000
   12 10.598 10.598 10.598 10.598 10.598 10.598 10.598 10.106 9.559 9.131 8.718 8.299 7.857 7.376 6.846 6.244 5.547 4.705 3.623 1.896 0.000 0.000 0.000 0.000 0.000
   13 10.598 10.598 10.598 10.598 10.598 10.598 10.598 10.103 9.556 9.123 8.711 8.289 7.847 7.367 6.839 6.244 5.550 4.723 3.659 2.021 0.000 0.000 0.000 0.000 0.000
   14 10.599 10.599 10.599 10.599 10.599 10.599 10.599 10.090 9.542 9.108 8.694 8.277 7.832 7.355 6.830 6.241 5.564 4.762 3.744 2.242 0.000 0.000 0.000 0.000 0.000
   15 10.600 10.600 10.600 10.600 10.600 10.600 10.600 10.067 9.523 9.089 8.677 8.255 7.813 7.338 6.819 6.242 5.586 4.812 3.847 2.494 0.000 0.000 0.000 0.000 0.000
   16 10.601 10.601 10.601 10.601 10.601 10.601 10.601 10.041 9.500 9.066 8.651 8.230 7.793 7.323 6.813 6.246 5.609 4.867 3.959 2.739 0.000 0.000 0.000 0.000 0.000
   17 10.603 10.603 10.603 10.603 10.603 10.603 10.603 10.015 9.476 9.041 8.627 8.210 7.770 7.309 6.804 6.253 5.637 4.924 4.065 2.948 0.871 0.000 0.000 0.000 0.000
   18 10.604 10.604 10.604 10.604 10.604 10.604 10.604 9.991 9.454 9.020 8.606 8.187 7.754 7.296 6.800 6.261 5.658 4.974 4.161 3.120 1.452 0.000 0.000 0.000 0.000
   19 10.606 10.606 10.606 10.606 10.606 10.606 10.606 9.973 9.438 9.002 8.586 8.169 7.740 7.284 6.797 6.264 5.678 5.011 4.228 3.252 1.775 0.000 0.000 0.000 0.000
   20 10.608 10.608 10.608 10.608 10.608 10.608 10.608 9.965 9.427 8.987 8.573 8.156 7.727 7.273 6.792 6.269 5.686 5.037 4.277 3.333 1.970 0.000 0.000 0.000 0.000
   21 10.609 10.609 10.609 10.609 10.609 10.609 10.609 9.969 9.423 8.982 8.566 8.147 7.717 7.266 6.785 6.265 5.692 5.047 4.298 3.374 2.062 0.000 0.000 0.000 0.000
   22 10.611 10.611 10.611 10.611 10.611 10.611 10.611 9.984 9.428 8.981 8.561 8.142 7.712 7.259 6.778 6.258 5.685 5.040 4.295 3.375 2.067 0.000 0.000 0.000 0.000
   23 10.613 10.613 10.613 10.613 10.613 10.613 10.613 10.015 9.442 8.989 8.563 8.142 7.707 7.251 6.767 6.244 5.664 5.015 4.263 3.327 1.985 0.000 0.000 0.000 0.000
   24 10.615 10.615 10.615 10.615 10.615 10.615 10.615 10.060 9.463 9.001 8.573 8.145 7.708 7.246 6.756 6.227 5.641 4.978 4.203 3.238 1.807 0.000 0.000 0.000 0.000
   25 10.617 10.617 10.617 10.617 10.617 10.617 10.617 10.122 9.492 9.023 8.587 8.152 7.710 7.243 6.741 6.202 5.603 4.922 4.120 3.108 1.515 0.000 0.000 0.000 0.000
   26 10.618 10.618 10.618 10.618 10.618 10.618 10.618 10.202 9.529 9.049 8.604 8.167 7.715 7.240 6.729 6.175 5.558 4.856 4.020 2.932 1.059 0.000 0.000 0.000 0.000
   27 10.620 10.620 10.620 10.620 10.620 10.620 10.620 10.304 9.569 9.078 8.629 8.183 7.723 7.240 6.724 6.150 5.514 4.780 3.894 2.718 0.000 0.000 0.000 0.000 0.000
   28 10.621 10.621 10.621 10.621 10.621 10.621 10.621 10.450 9.608 9.109 8.655 8.203 7.739 7.245 6.711 6.129 5.469 4.699 3.760 2.455 0.000 0.000 0.000 0.000 0.000
   29 10.621 10.621 10.621 10.621 10.621 10.621 10.621 10.621 9.646 9.139 8.680 8.224 7.753 7.253 6.711 6.109 5.429 4.623 3.625 2.159 0.000 0.000 0.000 0.000 0.000
   30 10.621 10.621 10.621 10.621 10.621 10.621 10.621 10.621 9.678 9.164 8.703 8.242 7.771 7.263 6.712 6.098 5.395 4.557 3.489 1.839 0.000 0.000 0.000 0.000 0.000
   31 10.620 10.620 10.620 10.620 10.620 10.620 10.620 10.620 9.701 9.185 8.722 8.262 7.785 7.272 6.715 6.091 5.371 4.504 3.380 1.557 0.000 0.000 0.000 0.000 0.000
   32 10.619 10.619 10.619 10.619 10.619 10.619 10.619 10.619 9.709 9.192 8.733 8.273 7.794 7.283 6.721 6.091 5.360 4.476 3.318 1.305 0.000 0.000 0.000 0.000 0.000
   33 10.618 10.618 10.618 10.618 10.618 10.618 10.618 10.618 9.704 9.195 8.736 8.280 7.801 7.290 6.730 6.097 5.364 4.476 3.298 1.209 0.000 0.000 0.000 0.000 0.000
   34 10.616 10.616 10.616 10.616 10.616 10.616 10.616 10.616 9.689 9.186 8.733 8.277 7.805 7.298 6.741 6.111 5.381 4.496 3.334 1.280 0.000 0.000 0.000 0.000 0.000
   35 10.614 10.614 10.614 10.614 10.614 10.614 10.614 10.614 9.662 9.171 8.722 8.274 7.804 7.302 6.748 6.128 5.408 4.544 3.416 1.532 0.000 0.000 0.000 0.000 0.000
   36 10.612 10.612 10.612 10.612 10.612 10.612 10.612 10.391 9.630 9.148 8.708 8.264 7.799 7.302 6.757 6.149 5.449 4.611 3.533 1.842 0.000 0.000 0.000 0.000 0.000
   37 10.610 10.610 10.610 10.610 10.610 10.610 10.610 10.265 9.592 9.125 8.688 8.248 7.794 7.305 6.768 6.173 5.493 4.684 3.662 2.152 0.000 0.000 0.000 0.000 0.000
   38 10.607 10.607 10.607 10.607 10.607 10.607 10.607 10.169 9.553 9.097 8.669 8.236 7.786 7.305 6.783 6.198 5.538 4.760 3.799 2.438 0.000 0.000 0.000 0.000 0.000
   39 10.605 10.605 10.605 10.605 10.605 10.605 10.605 10.088 9.514 9.070 8.648 8.222 7.780 7.307 6.794 6.227 5.587 4.838 3.930 2.690 0.000 0.000 0.000 0.000 0.000
   40 10.602 10.602 10.602 10.602 10.602 10.602 10.602 10.018 9.480 9.046 8.630 8.211 7.776 7.312 6.807 6.256 5.633 4.913 4.050 2.910 0.645 0.000 0.000 0.000 0.000
   41 10.600 10.600 10.600 10.600 10.600 10.600 10.600 9.961 9.447 9.022 8.614 8.201 7.771 7.312 6.822 6.280 5.678 4.982 4.158 3.093 1.319 0.000 0.000 0.000 0.000
   42 10.597 10.597 10.597 10.597 10.597 10.597 10.597 9.913 9.419 9.002 8.600 8.194 7.769 7.319 6.834 6.305 5.716 5.042 4.251 3.243 1.702 0.000 0.000 0.000 0.000
   43 10.595 10.595 10.595 10.595 10.595 10.595 10.595 9.875 9.398 8.985 8.590 8.184 7.769 7.324 6.846 6.329 5.750 5.093 4.330 3.370 1.964 0.000 0.000 0.000 0.000
   44 10.594 10.594 10.594 10.594 10.594 10.594 10.594 9.844 9.378 8.973 8.579 8.180 7.765 7.328 6.858 6.345 5.779 5.137 4.388 3.465 2.148 0.000 0.000 0.000 0.000
   45 10.592 10.592 10.592 10.592 10.592 10.592 10.592 9.821 9.365 8.963 8.574 8.180 7.767 7.333 6.866 6.362 5.799 5.168 4.435 3.531 2.278 0.000 0.000 0.000 0.000
   46 10.591 10.591 10.591 10.591 10.591 10.591 10.591 9.806 9.356 8.957 8.569 8.177 7.770 7.338 6.874 6.370 5.814 5.187 4.464 3.576 2.357 0.000 0.000 0.000 0.000
   47 10.591 10.591 10.591 10.591 10.591 10.591 10.591 9.800 9.352 8.956 8.569 8.179 7.769 7.337 6.879 6.375 5.819 5.195 4.476 3.597 2.390 0.000 0.000 0.000 0.000
   48 10.590 10.590 10.590 10.590 10.590 10.590 10.590 9.800 9.352 8.958 8.570 8.178 7.771 7.342 6.878 6.374 5.821 5.197 4.471 3.587 2.380 0.000 0.000 0.000 0.000
   49 10.591 10.591 10.591 10.591 10.591 10.591 10.591 9.806 9.358 8.962 8.576 8.182 7.772 7.340 6.877 6.372 5.813 5.186 4.456 3.560 2.324 0.000 0.000 0.000 0.000
   50 10.591 10.591 10.591 10.591 10.591 10.591 10.591 9.821 9.368 8.970 8.580 8.188 7.776 7.342 6.872 6.362 5.799 5.161 4.416 3.500 2.213 0.000 0.000 0.000 0.000
   51 10.592 10.592 10.592 10.592 10.592 10.592 10.592 9.844 9.384 8.981 8.591 8.192 7.777 7.340 6.868 6.351 5.775 5.126 4.366 3.418 2.042 0.000 0.000 0.000 0.000
   52 10.593 10.593 10.593 10.593 10.593 10.593 10.593 9.873 9.405 8.997 8.603 8.202 7.782 7.339 6.858 6.331 5.745 5.078 4.295 3.299 1.792 0.000 0.000 0.000 0.000
   53 10.595 10.595 10.595 10.595 10.595 10.595 10.595 9.910 9.428 9.016 8.618 8.212 7.787 7.339 6.849 6.314 5.714 5.022 4.202 3.149 1.469 0.000 0.000 0.000 0.000
   54 10.597 10.597 10.597 10.597 10.597 10.597 10.597 9.955 9.457 9.039 8.635 8.225 7.795 7.339 6.837 6.289 5.673 4.960 4.101 2.965 0.853 0.000 0.000 0.000 0.000
   55 10.599 10.599 10.599 10.599 10.599 10.599 10.599 10.009 9.489 9.064 8.656 8.239 7.802 7.337 6.830 6.269 5.633 4.888 3.976 2.747 0.000 0.000 0.000 0.000 0.000
   56 10.601 10.601 10.601 10.601 10.601 10.601 10.601 10.069 9.523 9.089 8.675 8.253 7.813 7.338 6.819 6.242 5.589 4.812 3.847 2.490 0.000 0.000 0.000 0.000 0.000
   57 10.603 10.603 10.603 10.603 10.603 10.603 10.603 10.137 9.556 9.115 8.695 8.268 7.821 7.341 6.813 6.221 5.541 4.739 3.713 2.199 0.000 0.000 0.000 0.000 0.000
   58 10.605 10.605 10.605 10.605 10.605 10.605 10.605 10.208 9.588 9.137 8.711 8.280 7.828 7.339 6.803 6.201 5.501 4.663 3.588 1.897 0.000 0.000 0.000 0.000 0.000
   59 10.607 10.607 10.607 10.607 10.607 10.607 10.607 10.282 9.616 9.157 8.724 8.289 7.832 7.338 6.792 6.181 5.468 4.605 3.484 1.616 0.000 0.000 0.000 0.000 0.000
   60 10.609 10.609 10.609 10.609 10.609 10.609 10.609 10.357 9.637 9.168 8.731 8.292 7.830 7.333 6.785 6.164 5.441 4.567 3.416 1.435 0.000 0.000 0.000 0.000 0.000
   61 10.611 10.611 10.611 10.611 10.611 10.611 10.611 10.423 9.650 9.172 8.731 8.289 7.822 7.323 6.771 6.148 5.428 4.550 3.403 1.418 0.000 0.000 0.000 0.000 0.000
   62 10.612 10.612 10.612 10.612 10.612 10.612 10.612 10.460 9.648 9.166 8.724 8.277 7.813 7.311 6.760 6.139 5.422 4.563 3.439 1.578 0.000 0.000 0.000 0.000 0.000
